월,2011,2012,2013,2014,2015,2016,2017,mean,std,var,min,max,평균대비증가율,표준편차대비증가율
1,2087,2052,2066,2024,2138,1869,2180,2059.43,99.24,9847.95,1869,2180,1.1312006679226836,1.751809355692851
2,2103,2103,2060,2127,2072,1878,2266,2087.0,114.59,13131.33,1878,2266,1.1463442767924332,2.0227714033539277
3,1741,1851,1781,1797,1871,1884,1883,1829.71,56.65,3209.57,1741,1884,1.0050204056971168,1.0
4,1857,1937,1857,1889,1938,1944,2030,1921.71,60.78,3694.57,1857,2030,1.0555540297818815,1.0729037952338925
5,1787,1811,1813,1861,1962,1963,1899,1870.86,72.63,5274.81,1787,1963,1.0276232169045958,1.2820829655781112
6,1796,1794,1789,1825,1683,1984,1873,1820.57,91.93,8451.62,1683,1984,1.0,1.6227714033539278
7,1763,1752,1752,1777,1786,2053,1961,1834.86,121.19,14687.81,1752,2053,1.0078491900888182,2.1392762577228597
8,1970,2092,2123,2000,2132,2095,2237,2092.71,88.45,7823.24,1970,2237,1.1494806571568246,1.561341571050309
9,1912,1927,1952,1911,1898,2137,2002,1962.71,84.4,7123.9,1898,2137,1.0780744492109615,1.4898499558693734
10,1809,1845,1787,1824,1863,2154,1936,1888.29,126.54,16011.9,1787,2154,1.037197141554568,2.233715798764343
11,1929,1966,1934,2001,1987,2232,2016,2009.29,103.44,10699.9,1929,2232,1.1036598427964868,1.8259488084730804
12,1952,2018,1952,2054,2037,2313,2119,2063.57,124.54,15509.62,1952,2313,1.1334746810064982,2.198411297440424
