date,Àü·Â·®
20111,2087
20112,2103
20113,1741
20114,1857
20115,1787
20116,1796
20117,1763
20118,1970
20119,1912
201110,1809
201111,1929
201112,1952
20121,2052
20122,2103
20123,1851
20124,1937
20125,1811
20126,1794
20127,1752
20128,2092
20129,1927
201210,1845
201211,1966
201212,2018
20131,2066
20132,2060
20133,1781
20134,1857
20135,1813
20136,1789
20137,1752
20138,2123
20139,1952
201310,1787
201311,1934
201312,1952
20141,2024
20142,2127
20143,1797
20144,1889
20145,1861
20146,1825
20147,1777
20148,2000
20149,1911
201410,1824
201411,2001
201412,2054
20151,2138
20152,2072
20153,1871
20154,1938
20155,1962
20156,1683
20157,1786
20158,2132
20159,1898
201510,1863
201511,1987
201512,2037
20161,1869
20162,1878
20163,1884
20164,1944
20165,1963
20166,1984
20167,2053
20168,2095
20169,2137
201610,2154
201611,2232
201612,2313
20171,2180
20172,2266
20173,1883
20174,2030
20175,1899
20176,1873
20177,1961
20178,2237
20179,2002
201710,1936
201711,2016
201712,2119
