year,month,day,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C)
2014,1,1,5.1,0.4,9.7,0,5,2.2,200,-2.4,61.1,1007.4,1015.9,8.4,9.79,0,0.8,0.8,1.8
2014,1,2,2.6,-2.2,9.1,0,3,1,320,-6.1,56.5,1013.1,1021.7,8.6,11.01,0,1.9,0,1.3
2014,1,3,2.1,-3.4,9.6,0,1.8,0.4,110,-5.5,59.5,1009.3,1018,7.4,8.42,0,5.4,1.3,0.7
2014,1,4,1,-2.7,6.5,0,2.5,1,320,-6.2,61.4,1011,1019.7,8.8,11.58,0,0.4,0.4,0.6
2014,1,5,-0.8,-5.9,5.5,0,2.5,0.9,320,-6.3,68.9,1015.5,1024.3,8.2,10.97,0,0.1,0,-1.3
2014,1,6,-0.2,-5.8,7.3,0,2.1,0.8,320,-6.1,66.9,1019.8,1028.7,8.6,10.84,0,0.1,0.1,-1
2014,1,7,0.7,-5,7.2,0,2.1,0.7,320,-4.1,72,1017.7,1026.5,2.2,7.5,0,5.8,2.9,-0.4
2014,1,8,1.2,-2.9,5.3,0.2,3.9,1.5,340,-4,69.6,1012.8,1021.5,2.2,4.02,0.1,7.5,3.3,1.4
2014,1,9,-5.4,-8.3,-1,0,5.7,2.4,320,-17.1,41.5,1020.1,1029.1,9,13.04,0,0,0,-4.1
2014,1,10,-4.8,-9.9,0.1,0,1.9,0.8,320,-9.3,70.9,1023.5,1032.5,3.1,7.17,0,4.6,4.6,-3.3
2014,1,11,-1,-5.1,3.5,0,2.7,0.8,320,-5.6,72.3,1023.2,1032.1,3.7,7.71,0,7,5.1,-1.1
2014,1,12,-0.7,-5.1,5,0,4.9,1.6,340,-6.6,65.6,1020.2,1029,2.1,6.26,0,4.1,3,-1.6
2014,1,13,-5.3,-9.9,0.7,0,3.1,1.2,340,-16.2,46.3,1024.1,1033.1,9,12.98,0,0.1,0,-4.4
2014,1,14,-4.4,-10.6,2.8,0,3,1,340,-12.8,54.3,1024.6,1033.6,8.9,11.99,0,0,0,-4.1
2014,1,15,-3,-8.7,3.8,0,2.8,0.9,290,-9.4,63.9,1024.3,1033.2,8.8,11.97,0,0,0,-3.3
2014,1,16,-1.6,-7.2,4.1,0,1.8,0.7,290,-5.8,74.1,1021.2,1030.1,1.6,6.06,0,5.1,4.6,-2.1
2014,1,17,-0.1,-4.9,6.1,0,2.2,0.7,290,-4.8,72.6,1018.3,1027,5.9,9.3,0,1.5,1.5,-1.1
2014,1,18,-1.1,-5.2,4.6,0,5.8,1.6,320,-8.1,61.4,1019.4,1028.2,5.9,9.59,0,3.4,3.4,-1.3
2014,1,19,-1.7,-8.7,4.5,0,2.3,1.1,320,-11.1,52.6,1020.4,1029.3,8.9,12.69,0,3.9,1.1,-1.9
2014,1,20,0.8,-1.5,5.4,3.6,5.1,1.8,320,-2.5,79.1,1011.7,1020.4,1.6,5.77,3.2,8.4,7.1,0.6
2014,1,21,-3.2,-5,-1.2,0.7,3.4,1.8,340,-6.8,76.3,1017,1025.8,3.7,7.35,3.3,7.3,7.3,0
2014,1,22,-2.6,-7.5,2.7,0,3.3,1.2,340,-7.7,69.5,1020.6,1029.5,8.8,12.64,0,1.5,1.5,-1.6
2014,1,23,-1.3,-7.7,6.4,0,2.2,0.8,320,-6,72.5,1018.4,1027.3,9.1,14.1,0,0,0,-1.1
2014,1,24,3.7,-3.4,10.7,0,3.3,1,230,-0.2,76.5,1013.3,1021.9,2.2,7.08,0,7.1,6.4,1.3
2014,1,25,5.7,1.2,10.3,1.6,4.2,1.3,320,3.9,88.1,1008.6,1017.1,0,1.68,0,8.4,5.6,3.5
2014,1,26,-0.8,-4.1,5.7,0,3.4,1.5,340,-9.5,54.3,1019.2,1028,9.4,14.52,0,0,0,0.6
2014,1,27,0.3,-8.1,8.6,0,2.9,1.3,320,-8.6,56,1016.3,1025.1,9.5,13.57,0,0,0,-0.7
2014,1,28,3.1,-3.3,8.7,0,3.7,1.7,340,-5.5,58.4,1016.1,1024.8,7.6,11.47,0,4.5,3,1.8
2014,1,29,2.1,-7.2,10.2,0,1.8,0.7,340,-7.7,52.5,1013.8,1022.5,6.5,12.08,0,4.6,2.3,0.2
2014,1,30,4.8,0.5,8.2,0.4,4.3,1,340,1.7,82,1008.1,1016.7,0,0.97,0,7,7,3
2014,1,31,2.4,-3.9,11.3,0,2.5,0.9,320,-5.4,61.3,1015.2,1023.9,9.2,13.32,0,0.9,0.9,2
2014,2,1,7.5,1.1,13.9,6.3,3.5,0.7,320,1.4,67.6,1007,1015.5,3,7.01,0,9.1,7.5,5.2
2014,2,2,8.7,6.1,11.2,0.2,3.9,1.6,200,7.6,93.6,1002.1,1010.4,0.2,4.42,0,9,8.8,9.1
2014,2,3,-0.2,-5.7,6.1,0,4.7,2.5,340,-8.8,55.5,1008.4,1017.1,3.2,9.12,0,4.3,3.1,2.1
2014,2,4,-6.4,-10.7,-1.2,0,5,2,320,-16.9,45.3,1016.9,1025.8,9.6,16.27,0,0.6,0,-2.9
2014,2,5,-4.6,-9,1,0,2.2,0.9,50,-16.2,40.9,1020.2,1029.2,5.2,11.93,0,5.3,0.5,-1.9
2014,2,6,-0.6,-4.7,4.8,0,2.6,0.9,20,-12,42.5,1017,1025.8,4.6,10.12,0,7,2.4,-0.6
