yearmonthday,H001,H002,H003,H004,H005,H006,H007,H008,H009,H010,H011,H012,H013,H014,H015,H016,H017,H018,H019,H020,H021,H022,H023,H024,H025,H026,H027,H028,H029,H030,H031,H032,H033,H034,H035,H036,H037,H038,H039,H040,H041,H042,H043,H044,H045,H046,H047,H048,H049,H050,H051,H052,H053,H054,H055,H056,H057,H058,H059,H060,H061,H062,H063,H064,H065,H066,H067,H068,H069,H070,H071,H072,H073,H074,H075,H076,H077,H078,H079,H080,H081,H082,H083,H084,H085,H086,H087,H088,H089,H090,H091,H092,H093,H094,H095,H096,H097,H098,H099,H100
20140101,8002.013439367464,9374.100241567403,8926.053670251053,7854.655797023848,10005.742224154379,7942.912449363566,9348.503015845137,8895.33126445194,7941.691442347412,7891.528236587633,5804.283094022375,8041.38038846788,9458.353309793076,8028.942869331276,8917.216644776237,9484.396905847148,9006.668169554236,9456.08733308063,8890.329524529068,9018.679632470663,5795.574057489553,9222.175657798369,8092.711885605393,9910.411857263967,7853.1188597147975,8901.790197395012,9429.9991907495,9418.792805811587,8115.852871736144,8942.613064911255,11373.863971232238,5734.243814399569,9316.28133055149,8833.51565509758,9001.562445175095,8990.766665888441,9405.318417507393,8938.407544133457,7979.15790072138,8002.54858100046,9411.900613887263,5660.669581615283,8757.212561737024,5649.826320841075,8002.475160502823,9274.41093015746,10010.301032648413,8062.465668249015,9113.019764133991,8028.27081148999,8952.6360003437,5611.462792945542,8978.625669905849,9318.720311273135,9317.445181355544,8082.979452256648,7914.348756315874,12780.453221221183,9429.960968911326,10026.727552482158,9463.809708485018,5801.619008031696,5817.359063634014,8762.642068513976,8172.443125357358,8037.468132206977,9412.110062156396,10840.566207410995,8090.954297877481,9433.947367176024,8899.176205450443,8008.798892870039,5603.5948595878335,9832.846046636567,9437.846145652244,10859.7412417625,8092.205692556636,5723.064128887705,9133.89076038889,8014.297299301112,5699.364557535371,8855.016096683388,5768.55353609011,9421.148161776548,7944.293942565904,8782.293165744024,9320.242893660872,5724.202962203727,9529.889372772453,5737.35308527456,10016.422702437001,9383.705177748001,8017.5811485622235,5654.5122434096065,8907.91905729864,9432.821532249434,9077.037053765047,8170.101441037734,8901.22529111628,7987.87313120757
20140102,8063.541915355384,9184.531918793175,8981.163511668647,8097.817957814312,10031.535489102029,7929.927835714763,9333.370549324041,9029.39278070795,8040.151095351492,8031.60895388416,5754.362129394822,8114.92259788649,9497.235164541922,8303.207331803833,9020.340224841464,9391.41069553775,8982.436604008793,9559.932402751909,8881.086333160703,8908.155382611812,5769.748844560998,9501.195411581113,8086.918117369631,9754.349391940657,8166.354660618475,8982.120031823219,9609.894760459896,9297.590607007003,8130.449924464803,9145.155010810537,11531.232700113083,5788.555812912802,9403.305279872948,8912.910939201289,8994.897186045158,8756.001394809444,9223.47954969331,9035.601456453895,7947.050268756212,8018.627550279058,9287.713754991586,5747.280450479472,8775.826573542485,5692.355868676533,7903.663297882509,9361.012467073919,10129.64674762981,8055.438047427092,8880.006163326763,8039.714356454742,8755.915796798303,5696.699500154986,9092.70242843153,9353.947102065464,9339.374140765281,8152.554942441969,7833.082718350031,12961.843559961391,9317.045718916012,9782.631859387442,9302.96606091812,5652.962601386029,5613.03808628457,8984.268583857745,8167.820782037368,7960.889572692281,9422.578939235227,10654.117387725848,8015.102363855667,9316.56860249153,9033.646164225504,7849.811619253552,5633.279551922894,9831.48182463452,9382.316872851065,10943.594394575279,7866.67763221969,5747.26362967902,9007.705791230772,8040.075607465902,5673.642165547019,8931.760055901304,5781.423230804645,9423.439626027073,8052.977044614535,8933.304651168492,9446.529139762153,5664.778623154853,9329.501640035403,5652.254390273777,9771.175037758761,9360.79938012897,8078.070606633349,5727.062237690297,9042.72702452246,9276.398346643897,8757.147435382582,8057.946223373422,9030.299677429697,8101.551599718554
20140103,8094.440974725129,9358.184255010683,8851.485987506909,7933.190310766815,9863.738407347537,8128.164508441351,9165.513026137736,9120.360769209592,8030.459083980739,7942.20260300394,5742.101476071224,8215.844780781616,9310.871980316324,8010.44583345784,8903.239813736624,9429.868343078388,8814.851445868353,9410.000837012822,8836.117046225583,8988.066252294644,5753.295572836977,9453.26423411447,8055.747163009678,9813.373599641156,8230.466742966357,8928.213567430159,9405.334538225597,9401.44208903245,7996.375158328956,8917.052954510953,11690.341873491341,5758.088629082597,9439.103864873678,8858.419582896506,8867.214460107334,8877.694256252853,9528.224667962082,8987.067592835827,8002.283799493385,7925.502822770137,9380.93921978493,5727.8873575029775,8911.651431023927,5688.521354884175,7964.815045761453,9445.15787142817,9833.647174172991,8077.738368740581,8933.619501436693,8021.501971804626,8851.15311413515,5764.883272545854,9009.0779849444,9437.965977489292,9502.834800699333,7874.068945893277,8154.688757282766,13079.533429939618,9356.462886271724,9804.089587163064,9402.745156117426,5833.426019772231,5797.133637373255,8978.151091276335,8160.59029244803,8002.711411382157,9529.922674849719,10755.97478028269,7997.646592322275,9288.744939105076,8788.347208568788,7929.520689715648,5743.929081958664,9764.595589096556,9433.341272125568,11093.04926804541,7994.32408217827,5743.568070788656,8870.918801228303,7818.298637016679,5821.159819054444,9015.051342232277,5743.181502302408,9393.458581649595,7930.725239902005,8929.041399557867,9423.159209686468,5784.299126628161,9430.917935697827,5766.324363887949,9893.241572756473,9402.203554655693,8137.5346409771955,5754.682981240618,9095.99725353105,9186.903447385665,8944.030066069194,7894.960280712022,8851.481560506752,8179.071301033752
20140104,8087.55003330627,9382.207702157484,8726.725002517293,7946.00111652807,9873.521517665391,8024.933213380959,9248.250594510702,9019.200832662065,8079.931213539528,8019.709083945315,5665.080874366282,7947.291551163349,9454.554034663459,7835.462537073846,8689.604863096487,9292.77210753703,8808.845403688852,9543.081740905129,8820.712939931422,9033.699753377492,5678.796321052676,9379.9920826906,8190.5582135899385,9839.352447268036,8014.477290285726,8897.811017605694,9319.37261986113,9576.850503357535,8030.836191667655,8971.75117206377,11817.624313958791,5769.947674383681,9289.790767340257,8966.67688547123,8879.695207610894,8809.156579462384,9414.472252813355,9017.955319640845,8130.479893263342,7983.086096032253,9318.884595278641,5746.357592040265,9010.263279894987,5776.3577501518475,8188.494651331761,9596.509700228782,9863.39802945729,8133.138104620564,8787.262731679008,7971.600181654506,8863.58251174045,5751.219368396114,8991.60634077375,9251.988333784366,9283.822661413951,8117.38372268111,8099.62744225804,12710.764957422818,9396.511766321435,9815.545037709295,9459.920829954946,5710.863457818917,5816.607125502977,8905.632455464358,8133.300687840263,7979.6871481639,9405.501301904886,10840.890111785426,8140.819641128966,9276.705245511708,8929.73728563109,8059.839359773717,5687.784604794464,9863.23391718633,9350.734960022019,10652.510703598718,8037.22030981757,5578.992805442513,9127.446550063505,8101.815567890788,5800.013102367538,8949.527778827336,5866.730746121046,9317.000283671892,7998.188254920569,8923.172650131395,9396.077816937603,5604.959392099708,9356.642680686828,5680.1826183187695,9833.367532862845,9564.121944809373,7981.252467288072,5774.1263836334965,8830.78101156087,9385.410566773588,8920.280356730245,7891.157736141342,8994.548526059318,7974.259649566141
20140105,7972.1341836155025,9397.41686810822,8813.54039678836,8018.801155968639,9747.454594462402,8040.876211432419,9476.472954344776,8885.154954759952,7932.953008964056,8079.966778634139,5674.1596850497845,8012.394815602158,9388.755229037177,7935.92548277719,9000.995056053343,9322.456458431347,8880.068537573632,9502.950771900583,8931.423341836622,8810.187420625962,5696.829743956848,9235.251571441899,8165.886551235402,9831.769309585154,7999.799491543451,8837.571649711981,9427.264278124794,9407.35980869365,8050.93078407241,8857.094647204025,12049.68318998938,5702.011419236653,9410.254832965355,8993.621576308966,8748.582945024436,8846.839564658765,9523.05690137046,8878.543370999432,7986.003450606151,8099.418451317861,9443.909400241555,5681.746274618787,8927.825244112051,5809.947538228551,8061.026026677825,9493.74632284898,9901.683976132232,8131.906212432893,8864.902949990901,8078.465688671636,9156.514573131006,5673.821832831638,9191.92072513857,9207.015297005762,9439.850144873497,7920.583863989129,8201.647794099845,12810.334240844384,9259.895040936357,9681.879770817783,9355.074746991097,5750.967159285879,5767.202846209919,8908.59195257984,7882.83309784083,8305.001904965784,9394.99574785473,10827.046341244144,7988.466676375611,9514.44991056422,8730.13661420008,8185.7741888676155,5661.146783094802,9889.7263690021,9495.42055009121,10735.229902278528,8111.460344488516,5740.620931166168,8932.173260232565,7957.768623352844,5789.702557987051,8841.885099312134,5730.54982342872,9507.107527192238,7979.6665371238205,8897.966198432585,9328.149623229983,5773.897274686,9353.994978997136,5836.536221318292,9956.086191972812,9332.450948668284,8078.392967290912,5683.408709598359,8832.144917965119,9209.674945018429,9026.64444080333,8113.42852393775,9000.152368466104,8089.844637713896
20140106,8176.051595085319,9392.345620120026,8991.373534173877,8012.775008879198,9738.075435599672,8143.485205459686,9545.354491808599,8887.263798753256,8080.261015496741,7972.403253550358,5793.705055228925,7795.781589542019,9476.264195342861,7888.618986691608,9095.908768177354,9415.221541938252,8866.402371157415,9390.994503560618,8945.520286055898,8887.55874881809,5705.405684679168,9250.127721215917,7882.573648673057,10027.831349480708,8125.719761988222,8910.029805269505,9509.656368640817,9388.646137577927,7979.205727561539,8825.490354052234,11945.910093671602,5630.75194269996,9324.492793820578,8713.11556674772,8973.47199425915,9039.362119779888,9519.939654219783,8861.85181490849,7957.739872421484,8149.143618701616,9468.721625701932,5718.578419902614,8976.801757886158,5651.167595546543,8016.543590656965,9255.978436764928,9791.252509806563,8026.246025541574,8888.555119612878,8084.047981436583,8948.993255845684,5681.643451890912,8859.888775415111,9490.094669681357,9191.978133552975,7881.790394977309,8068.23741114713,12804.90366795728,9356.617725995788,9858.942394583935,9432.782269883703,5804.260819071861,5721.600682216997,8945.38155646485,8122.728302579399,8036.927598237034,9463.011967570816,10673.50303824825,7993.77427266525,9371.390544156515,9075.766207098859,8076.020501491142,5601.4641946657985,9972.230192285824,9418.898016526322,10813.613127897914,8137.369491063799,5789.221113688947,8891.829347599885,7941.4080194963,5677.539760937943,9109.941352544094,5689.268127958516,9394.870962606125,8165.781178886251,9003.814840465315,9390.97746994053,5625.527036778131,9438.656674486283,5797.406020841989,10050.853996367054,9361.995577674405,7902.809494018595,5786.186629731278,8992.637174921161,9467.040037175579,8784.1324940849,8150.788882130706,8785.181448129872,8103.49051035524
20140107,7945.984288897785,9470.019162646891,8791.34162201281,8062.786099165218,9872.674045799959,7918.909902357355,9448.37790874298,8859.25251027358,7875.5206545938445,8001.6229424077455,5655.93183427563,8059.777678147478,9285.893051421794,7939.553880104939,9027.746379530681,9462.110550534213,8905.400331094812,9367.276244277693,8963.841995478262,8852.75234215961,5802.703823558088,9469.32383545615,7821.739207134429,9805.858305105627,7865.949229169429,8975.118938282463,9297.660476900775,9278.18431531152,7957.062440696591,8904.706850660583,11830.649170869088,5767.098516738914,9465.415961788955,9018.494953619325,9005.384220831087,8848.85143502831,9332.434353961882,8827.893520167576,8083.790069524018,7940.062214275615,9370.343866378147,5804.64858380253,8819.22650052837,5763.017215442127,8025.865210793497,9162.500626177762,9943.065197066051,8041.26721907864,8874.801321774245,7986.2593602166835,8862.616097489312,5712.361563502405,8852.669646692077,9353.933958597645,9464.23015460554,7875.680485172556,7984.057070781735,12778.033947197764,9443.043152762502,9770.733399445382,9393.942950504113,5821.8946608250435,5755.891365676099,8817.429421137924,8031.52761660368,8048.775659520201,9528.380083188944,10654.727524048949,7956.33317100309,9257.272239493288,8752.869624155435,8045.111633490328,5647.788074584751,9860.766773121533,9383.399897018808,10902.500560461547,7993.442993803274,5691.377670050681,8883.748262838912,8119.27507813574,5789.147664644845,8788.304743813625,5685.227484631743,9491.932125559137,8036.999982843346,8922.746739606337,9450.664084745025,5755.552532023885,9171.181113062084,5718.365133359011,9753.971492056613,9358.87257116384,8037.676064599727,5809.668501955339,8769.498017588232,9433.553541578889,8775.331892993046,7885.44855501873,8921.700182492617,8049.329121178231
20140108,8136.451989549224,9340.156297318554,8906.442918388062,7942.317119966438,9697.583078322898,8017.657639827279,9333.146666294344,8946.69457552361,8012.389971006768,8099.603789935956,5648.54586978983,7964.789709997885,9457.510096235,8025.117652655099,8794.78991882677,9339.25152946521,8893.928345249858,9363.025071859884,8993.407498046732,8829.659037171943,5707.366256578716,9398.796141360646,8014.6104643188155,9946.180227562687,8145.213861111598,8886.666437752046,9395.13312527527,9476.468973943387,7963.735356919403,8890.44791999712,11502.357692444175,5766.955713947898,9413.411061135359,9103.841658626114,8843.640786748349,8852.990567070181,9495.726280120316,8850.82611996971,8008.352735894954,7926.311272160403,9513.47669914068,5689.609244732455,8803.51371082763,5706.027358659409,8065.687085836355,9460.646533058605,9879.178025384126,8097.4368606262515,8819.442214963388,7932.689721778284,9017.863476945999,5723.28437424734,8652.37138877065,9530.582353525784,9546.780142767666,7948.920408343585,8079.014201771427,12880.666662171248,9506.77931083384,9787.860109111709,9290.618657478117,5707.549208892001,5751.205532609632,8834.696893495218,7959.95526632171,8006.383925697197,9441.744000434104,10781.910548623313,8026.775850912619,9469.902897094671,8811.070707810672,8149.989495953964,5692.642940218633,9831.744936727153,9530.992170779993,11083.87772417976,8020.859238195797,5757.312901102993,8957.986515419494,7912.295202665915,5737.144541834814,8854.21438692995,5682.647514689953,9163.376949636284,8136.019160510953,8796.864860877939,9479.58504309103,5802.950496951361,9337.204808211907,5703.603689206619,9855.61537518549,9319.827140729192,7876.350388515011,5805.116525687824,8966.21974254065,9270.393690647577,8935.976181432454,7965.191400810559,8917.575998113372,8194.945444927554
20140109,8036.153076057638,9430.765379320324,8955.560316371253,8137.821238213029,9677.722819672019,8194.139830281418,9492.796043639615,8994.859398786597,8094.564548103569,7889.696160103924,5703.643149139963,8072.500108863266,9268.48396328855,8117.993052462705,8908.823343406164,9350.096394362976,9004.322977266762,9279.623608998689,8848.146465217058,8973.035177512314,5739.79975153051,9248.218229875978,7959.120549454736,9942.327364658611,8183.24759660789,8945.521462086801,9497.77800585042,9462.627271444344,8061.007385659807,8918.787951468597,12337.810181665933,5691.956308871033,9492.427265690669,8871.950790607969,8989.099044805002,8957.965001410848,9163.591299939993,9045.481820262672,8097.352645679059,7964.128485229498,9489.519512994304,5599.624470071135,8822.377277988047,5633.157256829309,8058.776933913717,9556.708525053647,9727.4908630599,8026.862281673203,8813.419810231104,7952.968892109551,8926.757952860145,5733.1984361542545,8859.778096937616,9552.052050652435,9512.02181941931,7986.655402759191,7980.165784132562,12954.780207766811,9342.171310823498,9902.553932411478,9277.69873363958,5781.761921509416,5692.109324725806,8967.160828490314,8007.847947045544,7884.130074687448,9513.301999901778,10748.859346098376,7979.948741270775,9378.38954957445,8938.414951833629,8087.994504055576,5721.229570664023,9630.926339303414,9252.59041229703,10762.618706126459,7999.159420562703,5714.873454666069,8919.381743738262,8081.929350842195,5784.936627350108,8848.669937732398,5878.112203971767,9398.566517293979,8097.717879791556,8955.243697758326,9294.785765498695,5656.285671185652,9255.703296563805,5709.254755203474,9919.831989730934,9547.334945484225,7981.8897108884985,5808.162674454546,8885.952942623304,9349.547698660877,8912.600157888886,7960.193225146882,8909.990826939473,7995.400050337637
20140110,7965.920274292665,9372.965552325366,9086.670095975747,7987.003549329733,9775.173429604363,7992.251351317992,9363.351619573019,8932.24149335421,7951.028461660034,8030.907828267021,5729.097326864017,8033.270701687764,9327.865272293962,7791.926063111859,8825.424127779732,9253.339415495175,9017.161297977675,9297.99265092853,9075.364314593988,8877.93892692002,5739.414077767481,9459.238621605095,7994.005412969451,10030.960444416423,7930.068425689486,9103.797927669231,9344.825239833974,9390.934139366216,8074.692954521477,8867.757038172733,12032.024712964172,5671.933657607841,9406.815826150363,8916.143828363656,8875.108780676466,8746.443749366736,9553.160446048849,8866.114314025357,8091.994521757421,8113.694120470248,9515.50897241399,5825.163706016663,8854.550595388757,5701.066274846855,7966.766766841086,9447.370991504897,9900.12419553159,7981.99145001392,8886.60268002627,8131.083663150697,8692.95789099812,5558.356836084438,9016.247633244277,9518.118834474199,9431.428996241095,7998.314884909732,8141.986410465865,13000.123955852161,9371.04717146357,9833.897610772381,9338.348192651456,5728.263065589199,5778.927319547217,8894.069617908193,7893.826973719546,8173.613739770714,9481.950721924657,10769.257906521743,8040.300002569032,9202.13363273775,8733.687311855143,7903.1167514518975,5747.176413791609,10048.244690564941,9403.834900136806,10705.839088163613,8054.365046351225,5797.114672413111,8790.56079994347,7993.292168420421,5840.142641896417,9070.343826729702,5729.040476242816,9457.13607192075,7980.990994887543,8843.925591211742,9396.475742287479,5841.6507824110395,9304.528716014365,5688.041782594529,9891.814565128296,9363.132613715157,7958.602729736781,5676.526649481073,8891.204883376153,9270.696211129152,8843.087564301126,7861.534641617077,8980.204357306657,7971.716134334377
