month,elec
201401,341.3511385
201402,322.5280413
201403,310.8214477
201404,302.6323341
201405,296.1925521
201406,287.1744329
201407,291.3525663
201408,310.8046131
201409,323.3623843
201410,294.1918538
201411,290.2591335
201412,304.9962625
201501,338.242655
201502,325.3368309
201503,311.4470606
201504,300.6808958
201505,296.330034
201506,287.2948773
201507,292.1986006
201508,312.6597737
201509,322.3737682
201510,292.985376
201511,290.6027035
201512,304.6277577
201601,339.7949584
201602,321.0873556
201603,311.1563439
201604,302.8163435
201605,297.3041792
201606,286.9564335
201607,291.5667943
201608,312.4467407
201609,323.5858768
201610,293.8348189
201611,290.4036051
201612,306.0782103
201701,339.4212063
201702,325.4077981
201703,310.6577344
201704,300.547948
201705,298.2825003
201706,286.8057444
201707,292.190034
201708,310.69255
201709,322.6355013
201710,293.5722273
201711,289.3180656
201712,305.9972072
201801,339.6559204
201802,323.5920502
201803,310.8273541
201804,300.1224148
201805,298.0605409
201806,287.5811413
201807,291.1958366
201808,310.9843294
201809,322.2260434
201810,292.9987789
201811,289.7645227
201812,305.0923621
