day,H001,H002,H003,H004,H005,H006,H007,H008,H009,H010,H011,H012,H013,H014,H015,H016,H017,H018,H019,H020,H021,H022,H023,H024,H025,H026,H027,H028,H029,H030,H031,H032,H033,H034,H035,H036,H037,H038,H039,H040,H041,H042,H043,H044,H045,H046,H047,H048,H049,H050,H051,H052,H053,H054,H055,H056,H057,H058,H059,H060,H061,H062,H063,H064,H065,H066,H067,H068,H069,H070,H071,H072,H073,H074,H075,H076,H077,H078,H079,H080,H081,H082,H083,H084,H085,H086,H087,H088,H089,H090,H091,H092,H093,H094,H095,H096,H097,H098,H099,H100
20140101,9463.237882112424,8217.164828542258,8881.182723995862,7948.034016027893,8829.26776402409,9472.850175465286,9020.952068763743,8840.690800195302,8129.463770843257,8115.310993255758,7895.269875835154,8017.321437259876,8072.888495250314,5562.156323182301,8821.641602621767,8757.957372045907,9720.697101655867,5673.155595084482,8080.516940858272,5712.732436208784,8130.616073296018,8079.861273722265,8902.88922953417,7993.798252340114,9961.978597972919,9478.22676413347,9405.779818425908,9432.122738877142,8022.064206758023,8948.884341162724,5695.595439686875,9014.157450600995,8668.462793142186,9551.357535450576,8151.230887600483,9620.649578071912,7935.795260345806,8908.473417821346,7877.346953293428,7932.322361348847,9349.888424002862,9246.48902702169,9383.597063476152,9474.59310537456,5775.087016627365,12187.196657475803,9355.232489613354,8874.985613934097,9426.651776607308,7837.7735151755915,5817.273446208899,5729.609242965256,9521.38334501169,8872.246741921012,8724.245185311625,8204.040221326071,9422.782304193104,11079.178425254397,8903.511838171911,9273.55506572799,5760.1173439732265,9556.850667086614,8873.257926634247,9015.261279171344,8721.420529133495,8905.786084566435,9449.179158877854,5756.520807850109,9245.680830894908,8008.4520023058785,9472.499759549639,9536.884650828086,9214.978724000806,9028.829041825535,8853.082690077275,9416.344061369513,5708.108931265,9625.200005424507,9317.866849072467,9046.877731666027,8040.863861793745,9393.306237998242,9170.18143384977,8022.529478880314,8894.815049509052,8183.972878942135,9003.172506065654,9496.647548753754,10784.413674471476,9431.245918513854,8991.48307906217,8843.36029900918,9615.549349178442,9003.315851257335,8030.052618168524,5701.771582170099,9476.590231003793,8085.33033861718,5693.2702513363,9045.365161023545
20140102,7784.139843504018,9034.165216597276,9281.992755797466,10678.770665378486,7992.484387426537,7811.051470902568,7976.679598659522,5753.185434063652,7978.404637017374,8061.886023101072,8151.691746524768,7990.425647979966,9325.882181285613,9458.468173924515,8046.181696301527,5629.629827817493,8837.681822221502,9919.504930356907,8730.317521911817,5775.403425719682,7978.307802157056,8196.918772061279,5763.639540195538,5859.465180694482,9510.069736683263,10946.189933435968,8031.238681009763,9465.171028266577,7842.4961849541605,9403.41251355672,5758.517770200931,9830.149780581032,8001.017783452967,8817.204806876416,9387.560286568823,5751.147446909568,9268.082920288287,8121.342152763527,9966.29975701224,5735.607690146119,9449.948436760511,8071.540326551619,8861.43073535067,13048.257101271725,12901.001142038429,7915.161867992795,7965.780294895723,5617.88971863207,10103.62705068,8958.324695792524,9211.013396847138,9310.656267485183,5670.381876871169,8034.562447054421,9391.973211075405,8041.0078508348815,8015.365648763073,7975.322221866075,9268.838538709872,8922.930243407454,5793.79053148676,7942.745129977884,9006.022035344264,9083.18663497726,9485.743319715457,8145.218822007428,8037.060870750961,10850.005096279265,9984.560626018047,9534.953161646721,8846.503600805598,9473.509710614557,5720.071411894107,7974.224324871326,9024.098881436767,9427.427413449463,9899.957047774358,9866.664433327911,5643.005185056171,8829.749446183554,8057.8582208618345,8174.68373496728,5741.555491173791,9122.162646461928,8071.519079647511,5815.62276326187,8903.333503015672,9492.26533056026,8869.295613235685,9347.852310237653,10856.40778776986,8038.37292640179,5620.856149986966,9494.426153927034,5661.913237070333,8219.9913827348,9011.112967951185,8139.239058685023,8086.134917936539,9315.746015556173
20140103,7766.9982971283525,12583.187529316403,5753.56120327214,9039.67948183906,9396.098244841978,9612.234102672754,8014.083084798165,8993.84586836426,8091.114792817713,9196.042173150176,5753.926425741455,8108.046291944401,9458.668723022696,8986.378783162238,7969.653581860354,7986.088852510882,9488.163106941007,9303.401498364015,5724.956988263234,5676.160873415321,7902.455443594565,8156.889335265598,5697.167181458263,7736.132988914504,9528.08231414421,9677.18248589519,9368.237561298227,9309.70688938294,8136.0946832707,9333.64390971948,8145.294660997437,9345.85398031159,9370.80224638395,5646.1440897834245,9516.472140308226,5758.855316819078,8013.913462583361,8917.712559966378,9405.871123914709,9361.769616706728,9338.075781567106,8047.770642890169,8798.069867187058,7907.0163369241045,8169.239898495088,7929.631200866852,9489.682426283529,8074.708470495193,5652.908357344157,9005.91124588737,9417.81921676343,9410.917028068588,8066.93784281258,8025.781900803822,9456.121671992954,7956.089203278201,9085.882551765077,8924.013079500975,5787.17779983367,8164.397891036794,11450.33677879601,8066.435814610537,9199.545566355158,8031.030575878098,8166.755511933858,8916.07071281494,5773.938912993151,7996.9169331838475,9399.315686112874,9376.535566775603,8940.127739452366,5774.4050859609915,5749.503660510036,9552.829327523155,9462.664377677476,8113.471573537057,8108.231543786345,5818.793344850808,7918.53909580658,5892.165897130404,9234.083497754258,9363.18443165465,8044.806436914288,9420.087552236138,8924.29786574009,9489.28381586742,9277.571168093793,8230.84090647119,9487.36543364539,8272.892408710795,9392.07046542754,8799.022668356714,9296.042889057186,5689.292698758047,9328.112947268046,9456.149758967154,8981.10260119497,5698.045270064508,8056.996488201668,12690.953664909619
20140104,9424.786959368099,9001.908881004754,7867.681666310031,9347.973722507117,8895.926633983634,7683.707280427677,10719.8060446801,9440.547692480437,7887.420816173551,5641.482462156778,9869.764568535684,5654.2670491587605,7999.561208607129,13106.67747028127,8766.7077806947,5737.049650588542,8071.355974152722,8927.279667376597,5771.715258727535,9208.108198156264,5692.253831345937,9400.16658168733,8052.801108896161,8042.46397217451,9378.693735374674,9860.027114301472,8001.747776297901,7973.641330953939,8092.829314037865,12856.623234793931,9185.646080695275,7958.445106375354,8920.459636524223,8113.230093901241,8858.758918616457,8113.43832687824,9337.61395149574,7984.1395785036775,5752.863921746791,8760.977076078347,8085.631602107776,9267.157149908115,5691.21011580542,9287.196183178534,5658.721159589751,5749.523782171147,7971.572831061154,8950.94604871433,8152.401996979123,8051.960907286109,8918.217748684267,7991.087353722176,9270.849810669868,8034.9104892487485,8031.219901558517,5661.24039673477,8032.9919116429,11033.633676283327,8656.170463832976,7893.931472953278,9591.825569264636,7982.195307479904,9530.87485088677,9412.009936908482,8053.625893669369,9055.786323648474,9376.891730839436,7838.596331029637,8833.119918205697,8144.494083107356,8194.20913706652,8786.354557494431,7998.17753476162,8935.097187635798,8805.331243003335,12911.846327255114,8925.503961820003,9387.361644972598,5804.328107597024,9728.941867908794,9479.427708822474,7988.1392805061,8116.946847607291,9203.118562419653,9117.221884563605,8901.599583845791,7992.173503833169,7992.217572530323,8062.600483603544,8884.543897464497,5726.905847999072,5605.980196781407,8823.503872354278,9297.702962287494,7986.271266847883,10679.408869145862,9446.989636618071,9413.215111237148,9113.242360188598,8099.195150516643
20140105,8118.568615185096,9355.329739577663,10818.221468129357,7983.167779791507,5691.754330406957,8941.132747505313,8874.47231796236,9955.892210300026,8919.033758328134,9314.38347759335,8805.481680587754,7964.834189706036,8010.806900649928,8998.360857775668,9871.649743780343,8887.944877126974,9926.352145550261,8959.310890276469,7909.219394614612,8907.27891773422,8078.080914432002,10052.081635678585,8011.139803923737,5668.912500225736,9481.581466616808,5657.167611991364,9878.695850991682,7871.878649178281,9334.180417577218,9322.944881849156,8778.245829941883,5734.622764595495,9266.944370811316,11576.093739572721,9412.185761615705,8798.198917613576,8958.78794334555,8007.523526691206,12786.813003216284,9465.616944773725,10814.677802776325,9360.786816416368,9246.574595780283,8947.637490585492,9508.501968172135,8092.622794769436,5636.467458973611,8061.166464349717,8038.166214600622,8641.131747957996,8095.961566879176,8722.549240905686,9341.013107131315,8861.909250610392,8132.063185652806,8900.509830636865,7969.639380772105,9795.256443270142,12602.557256815397,9882.230698814254,8031.47939172971,9349.964024283578,8805.284248612812,8053.164596376302,5760.298337763821,9463.200630929246,7984.345630687806,9265.007202869701,9810.26529662306,9023.64151345952,8155.020213685203,8960.148246184857,9901.981528024588,7933.394231810233,8067.178803211081,8940.545686276706,9946.705869304751,8710.26868947164,8956.42167391823,12995.236564803892,9054.25556461635,10596.303562387997,9252.239161867348,9029.097638454816,8056.252330508564,5515.356700483666,8059.319370597631,5705.954637357748,7965.029907986923,8080.9959138802715,8055.151115828102,8859.791638669134,9357.505819620428,5761.859275000362,5718.689934078674,8895.730178870162,7993.384241337225,8863.649878381735,7795.638269023327,7929.618710563544
20140106,8053.135199632423,9367.854076189888,9558.158769816448,9455.825399931668,8994.934474858715,8072.20410407138,8015.180762045649,8849.767196629606,8982.764831816121,8859.266230134423,10853.114452065476,8881.887262921227,8958.902432019386,8918.661419564161,9723.281245032134,8067.556004278591,9477.807731554381,8011.227447538994,9244.49578646553,8116.398769905094,12829.400808826365,7926.7639853746905,8170.507584803229,8955.70485989688,11378.65320828682,8882.39796772047,8022.437707378459,9570.43952606969,5665.378568124275,8993.478918880899,5709.403623166465,9422.540228561205,8906.555278207315,8826.837730201209,9259.871016675641,9501.701155442224,8826.72097746309,9415.104600391462,8839.225639747303,9361.59848635664,8240.980214127994,5827.425914399554,5743.82230898895,5783.480427333143,8031.950630448981,8017.5076484727015,8796.708939917755,8881.109183098037,5685.875673269013,5700.345161992271,8909.095765590322,7876.676685354743,9256.983982373244,9308.508208183386,7877.768843041327,8841.635570293509,9210.787988173804,7957.556091603409,8006.610666246416,8073.358618353806,9355.966439659202,8901.702519487091,9977.769374840844,9880.30140531443,9424.72213103619,8929.351516831823,9369.856663212317,8130.793206850962,9427.109491977377,10891.285005738662,5706.523510719483,5848.5541710811185,7994.171713432284,8836.208570815494,9419.09784925859,9340.912080720147,8057.342688741468,5766.125685405885,5681.590606923952,7893.957293079131,9391.192447988138,8832.38868139087,5644.750443147906,8025.994649099807,8785.861339133537,8852.532805149567,5722.578911835243,8106.647771929048,9274.259637260908,8863.252936046465,8109.620728197923,9341.893572812618,9324.784081119878,9954.337270020807,8693.073189580058,9210.543749344079,9431.449129622531,5710.497438102041,8053.052351274973,9014.943542740526
20140107,9420.092707967764,9419.717186509904,8777.898018442518,8955.12230873112,9771.955638322948,9568.114829264963,8924.443723414412,8005.681117653229,9076.540496042306,8224.439639599543,8053.245244393018,9357.198818990553,8069.048041828818,8875.24121150807,7898.349069700978,8146.522470120085,8866.061090665291,5627.359982354036,5784.397487999183,5578.412996832158,9380.872505816242,8006.297481029905,9346.734179944837,9905.176458930624,9050.838545888919,9013.258405982844,7891.055347388934,5785.926858987374,8883.56831675104,8920.460595691216,8010.101713793064,5727.309340578916,5818.5418229491415,9786.06357839926,9338.541087143607,5791.688508096101,9828.879735565903,9546.463504631667,8978.623673235254,8912.390299310473,5759.111143690804,9927.35043169656,8169.507072489063,9349.786688518854,9400.717267406226,9373.642263805938,9415.982632103547,9416.485434532655,8772.252912645148,5740.185077335212,5764.913064391193,9976.055613508754,7944.235953418388,8002.309894337957,9286.660244562443,5636.401244852205,5781.784101074203,7990.987906025363,5671.750123111943,8060.005592651929,8927.965110397898,9181.702160795443,10066.349053102807,7862.960343033378,8835.302935921953,7902.868801265447,9012.240258561515,8717.516035762796,8983.598511853832,8079.664519080055,8257.76473003286,8807.439589838858,8998.351085131166,8858.369666016222,8956.253991254676,5672.702484541805,11026.515263246907,9765.732365386966,9289.964982125033,8764.641128461588,8771.578003575483,9240.243524096983,8857.912535199774,7911.870896318578,9219.502141993322,8868.087487388053,9365.085754365857,9301.798885107522,9440.636168572417,8054.388624264008,9210.235349418284,9430.50633273218,12796.04363252179,12782.960835127307,7908.142458362241,9322.662343089973,9643.239207860113,8327.665704758385,8163.231667819618,8940.963541039175
20140108,5598.740785284722,9796.747973535686,8834.3190860026,9882.580134681752,8007.716175295014,9409.888869671295,12963.544838270187,9469.733570199303,8024.604589815305,7973.335386373531,8953.461073064971,9083.038064235972,7910.03297017908,10886.58400901094,8726.537059526825,9258.02582154555,8929.90889164517,9427.509447133369,8885.468063876384,8968.691431612911,8922.647999404964,9261.240815892561,9443.667854521695,9279.153756386397,7983.190249118885,8869.89897476955,8033.309431404592,9317.41678099499,9291.582817386092,5748.564666346663,7952.8249249730825,9330.536613039823,8000.105821311748,8856.330085449055,9512.118540758953,5702.361486963952,8747.97783200006,9330.42183065958,8051.764118450927,5770.777787017564,8860.246615433736,8871.455560975228,8069.105887430951,8049.625357557691,5729.478728007972,8082.7351342267975,8294.160068165123,8040.522278329047,7943.629874941231,5845.788679645494,11091.796842107584,9653.310416843773,8809.10325760245,9294.247669952169,8913.333756258777,9335.383218679273,9824.07519364179,9274.216563895963,9840.398336296183,8811.647834652522,5699.957225516717,9456.096583091798,8075.419801083122,9332.320160943047,9319.49654414498,8914.830183590037,8083.997074609345,8941.907414706257,5671.164669097821,9312.304934872704,9500.39032307833,8907.329500463584,9005.400140214319,8064.5629603850375,8171.268315242334,5723.86734704857,8847.288885588478,9063.427132669138,9370.382708821715,9263.2079104496,9975.370816955361,9983.707461621429,8058.2256647505355,8036.75784240723,9417.239371522659,8887.708039283461,5702.4738032224295,5652.835501912412,9407.620062835753,9227.699203722455,9483.079832733185,7981.551208144023,8213.356566244762,8739.700068771717,5683.336869219144,9457.91175778678,7868.238332267476,7959.351502005803,8907.204769749113,8787.799538630978
20140109,8943.199929832977,8117.902711663894,8084.712621531966,8032.3689739843885,9169.74698789034,5745.083977440446,9421.942731403975,8768.624805540483,7825.310767527427,5644.307026847848,8991.4629732869,9412.122474803662,8921.211535736924,8927.278381926488,9306.556586782583,5675.273452794562,8830.640843106894,8964.60133650799,5722.187017951248,9376.22796908775,9470.08750712326,9449.373829583506,7940.624855388214,8942.246544655764,8151.185387447084,9373.121300705223,9011.881869469164,10629.50042793668,9514.714576986791,7903.083978997619,10927.285884358424,5706.946014033803,7844.3109657522555,5701.344640537859,8060.659363032236,8794.216238111832,8999.864002264094,10077.646142279085,5619.766378565887,8994.936139103178,8729.58397037393,8003.843714654744,9512.252779550743,9148.243348913935,9196.762601885594,8922.963128746673,9029.500979196737,9549.232474261875,8911.697003054187,7925.195445245657,9754.621274983956,9544.615588900084,7917.743249733898,8867.05348599038,8851.85893900002,8890.40487103658,8000.981508711513,8192.314964241039,8936.630453277086,8880.670452161761,5732.292319515491,8943.535079776286,7964.182886185801,8855.845309730901,5625.729421979022,8787.521617975459,9477.054703520727,9538.839706380357,8917.76201907372,5607.064285999755,5638.248837172528,9359.542615079328,9340.356690621098,8852.178053344935,8030.061638131469,7981.395560112649,8189.424840492071,9050.268004807705,8695.348744704326,9132.218877975041,9200.279360679795,12031.404136890222,8218.874366370146,8062.242040356865,7991.255191177019,8128.7433758542065,8741.866138053929,10678.42866784593,7994.695032225242,9087.971410397178,7944.512779467706,9139.207653957237,9946.369036924702,7866.568152298821,8836.34305245196,8046.361392150352,9265.952495442874,9050.889986403914,8047.067394807045,9303.605338367557
20140110,8023.206503828537,8067.433723145849,9424.491471099223,5848.555173659102,10812.327179509595,9330.08566814334,9269.619954068916,5631.99308483148,8128.802480010933,9407.640988863146,8894.888888463742,5741.6394809013955,9316.468983998653,9339.390082999987,8078.116353389924,7950.4721991941915,7993.548983851392,8029.953558659644,9344.707086371425,8086.540776626444,8007.3032321052815,9278.26643820193,5767.092141002151,9451.322526866908,8112.488938364962,9225.43561474347,7973.6492354462425,9424.928655439666,5747.546510586833,8918.576145992589,9370.334401997705,10028.427699048072,9050.404908084563,8966.18319717318,9807.4879513047,7781.384089666471,5777.045694938158,9414.755876573581,8947.624731352194,9348.191163809199,9727.110649187489,8737.679904685712,8006.191562571203,9330.142440378697,9029.180685374175,9457.487049230092,5705.440012436709,7933.143785243439,8910.877611079553,8945.76543180278,8935.989676598927,8064.487816782959,9361.753955948465,9767.67767600046,7916.805306756682,8960.194299415556,8076.161381087214,9797.540428748332,8103.643611526463,8882.963472075664,8979.256359227109,5782.645025288781,8121.665935898526,8989.061671652193,5672.631180450868,8897.927093819622,8039.374435811458,8018.9092145861405,8116.763018509641,9488.737328310037,9347.623187783915,5575.9776842129395,5698.085777747546,5705.667904404829,8816.27205190399,7806.531391284948,8152.311345730847,8979.23367840258,5792.445386297534,9009.47785467853,8755.986423648059,7859.889235050497,5739.54801143949,5741.158948249566,9348.885311333292,8054.244962061196,7938.870575580688,8089.4506116627,8079.582470950888,9836.98010676729,8993.470631651957,7923.7638432761805,8072.438102859057,5800.783016338655,5753.806529875262,8139.136159524713,9237.419080195283,9474.826562304686,9342.036724442449,5726.137104930112
