date,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),watt
20140101,5.1,0.4,9.7,0,5,2.2,200,-2.4,61.1,1007.4,1015.9,8.4,9.79,0,0.8,0.8,1.8,1161.699541
20140102,2.6,-2.2,9.1,0,3,1,320,-6.1,56.5,1013.1,1021.7,8.6,11.01,0,1.9,0,1.3,1176.430702
20140103,2.1,-3.4,9.6,0,1.8,0.4,110,-5.5,59.5,1009.3,1018,7.4,8.42,0,5.4,1.3,0.7,1193.934395
20140104,1,-2.7,6.5,0,2.5,1,320,-6.2,61.4,1011,1019.7,8.8,11.58,0,0.4,0.4,0.6,1162.438562
20140105,-0.8,-5.9,5.5,0,2.5,0.9,320,-6.3,68.9,1015.5,1024.3,8.2,10.97,0,0.1,0,-1.3,1170.903589
20140106,-0.2,-5.8,7.3,0,2.1,0.8,320,-6.1,66.9,1019.8,1028.7,8.6,10.84,0,0.1,0.1,-1,1167.064135
20140107,0.7,-5,7.2,0,2.1,0.7,320,-4.1,72,1017.7,1026.5,2.2,7.5,0,5.8,2.9,-0.4,1173.917768
20140108,1.2,-2.9,5.3,0.2,3.9,1.5,340,-4,69.6,1012.8,1021.5,2.2,4.02,0.1,7.5,3.3,1.4,1223.951826
20140109,-5.4,-8.3,-1,0,5.7,2.4,320,-17.1,41.5,1020.1,1029.1,9,13.04,0,0,0,-4.1,1164.659118
20140110,-4.8,-9.9,0.1,0,1.9,0.8,320,-9.3,70.9,1023.5,1032.5,3.1,7.17,0,4.6,4.6,-3.3,1152.102643
20140111,-1,-5.1,3.5,0,2.7,0.8,320,-5.6,72.3,1023.2,1032.1,3.7,7.71,0,7,5.1,-1.1,1187.461095
20140112,-0.7,-5.1,5,0,4.9,1.6,340,-6.6,65.6,1020.2,1029,2.1,6.26,0,4.1,3,-1.6,1197.813983
20140113,-5.3,-9.9,0.7,0,3.1,1.2,340,-16.2,46.3,1024.1,1033.1,9,12.98,0,0.1,0,-4.4,1162.548784
20140114,-4.4,-10.6,2.8,0,3,1,340,-12.8,54.3,1024.6,1033.6,8.9,11.99,0,0,0,-4.1,1149.671898
20140115,-3,-8.7,3.8,0,2.8,0.9,290,-9.4,63.9,1024.3,1033.2,8.8,11.97,0,0,0,-3.3,1164.573368
20140116,-1.6,-7.2,4.1,0,1.8,0.7,290,-5.8,74.1,1021.2,1030.1,1.6,6.06,0,5.1,4.6,-2.1,1212.784962
20140117,-0.1,-4.9,6.1,0,2.2,0.7,290,-4.8,72.6,1018.3,1027,5.9,9.3,0,1.5,1.5,-1.1,1153.087416
20140118,-1.1,-5.2,4.6,0,5.8,1.6,320,-8.1,61.4,1019.4,1028.2,5.9,9.59,0,3.4,3.4,-1.3,1154.573346
20140119,-1.7,-8.7,4.5,0,2.3,1.1,320,-11.1,52.6,1020.4,1029.3,8.9,12.69,0,3.9,1.1,-1.9,1173.064402
20140120,0.8,-1.5,5.4,3.6,5.1,1.8,320,-2.5,79.1,1011.7,1020.4,1.6,5.77,3.2,8.4,7.1,0.6,1137.787716
20140121,-3.2,-5,-1.2,0.7,3.4,1.8,340,-6.8,76.3,1017,1025.8,3.7,7.35,3.3,7.3,7.3,0,1191.624245
20140122,-2.6,-7.5,2.7,0,3.3,1.2,340,-7.7,69.5,1020.6,1029.5,8.8,12.64,0,1.5,1.5,-1.6,1187.606654
20140123,-1.3,-7.7,6.4,0,2.2,0.8,320,-6,72.5,1018.4,1027.3,9.1,14.1,0,0,0,-1.1,1191.027501
20140124,3.7,-3.4,10.7,0,3.3,1,230,-0.2,76.5,1013.3,1021.9,2.2,7.08,0,7.1,6.4,1.3,1176.721533
20140125,5.7,1.2,10.3,1.6,4.2,1.3,320,3.9,88.1,1008.6,1017.1,0,1.68,0,8.4,5.6,3.5,1196.620007
20140126,-0.8,-4.1,5.7,0,3.4,1.5,340,-9.5,54.3,1019.2,1028,9.4,14.52,0,0,0,0.6,1203.778508
20140127,0.3,-8.1,8.6,0,2.9,1.3,320,-8.6,56,1016.3,1025.1,9.5,13.57,0,0,0,-0.7,1177.104367
20140128,3.1,-3.3,8.7,0,3.7,1.7,340,-5.5,58.4,1016.1,1024.8,7.6,11.47,0,4.5,3,1.8,1169.336621
20140129,2.1,-7.2,10.2,0,1.8,0.7,340,-7.7,52.5,1013.8,1022.5,6.5,12.08,0,4.6,2.3,0.2,1195.243382
20140130,4.8,0.5,8.2,0.4,4.3,1,340,1.7,82,1008.1,1016.7,0,0.97,0,7,7,3,1196.394274
20140131,2.4,-3.9,11.3,0,2.5,0.9,320,-5.4,61.3,1015.2,1023.9,9.2,13.32,0,0.9,0.9,2,1175.658255
20140201,7.5,1.1,13.9,6.3,3.5,0.7,320,1.4,67.6,1007,1015.5,3,7.01,0,9.1,7.5,5.2,1126.489282
20140202,8.7,6.1,11.2,0.2,3.9,1.6,200,7.6,93.6,1002.1,1010.4,0.2,4.42,0,9,8.8,9.1,1107.265534
20140203,-0.2,-5.7,6.1,0,4.7,2.5,340,-8.8,55.5,1008.4,1017.1,3.2,9.12,0,4.3,3.1,2.1,1109.500771
20140204,-6.4,-10.7,-1.2,0,5,2,320,-16.9,45.3,1016.9,1025.8,9.6,16.27,0,0.6,0,-2.9,1084.430516
20140205,-4.6,-9,1,0,2.2,0.9,50,-16.2,40.9,1020.2,1029.2,5.2,11.93,0,5.3,0.5,-1.9,1133.771019
20140206,-0.6,-4.7,4.8,0,2.6,0.9,20,-12,42.5,1017,1025.8,4.6,10.12,0,7,2.4,-0.6,1118.67341
20140207,2.7,-2.5,7.7,0,6,2.2,90,-3.3,64.9,1011.4,1020.1,2.9,8.29,0,7.5,4.3,1.1,1099.920153
20140208,3,0.9,5.2,1.3,5.4,2.2,110,0.1,82,1008.6,1017.2,0,4.08,0,10,6.3,2.6,1121.565778
20140209,-0.2,-1.4,1.7,0.1,3.8,1.3,340,-3.4,79.5,1012.8,1021.6,0.3,6.07,0,9.6,7.9,1.1,1125.418309
20140210,0.2,-2.2,3.2,0.6,3.6,1.4,340,-3.1,79,1016.7,1025.5,2.2,7.26,1.3,7.3,6.5,1.4,1122.526072
20140211,1.1,-3.6,6.5,0,5.7,2.9,110,-6.3,58.9,1017.6,1026.3,9.8,15.68,0,1.8,0.5,2,1131.113872
20140212,2.6,-1.3,8.9,0,4.3,2.2,110,-5.3,57.4,1019.5,1028.2,8,15.31,0,4.8,3.3,2.6,1111.716266
20140213,2.8,-1.4,8.2,0,4.6,1.7,110,-3.6,63.8,1021.4,1030,4.3,11.7,0,7.3,0.5,2.4,1109.8328
20140214,2.4,-0.9,6.6,0,5,2.4,90,-3.6,65.5,1019.6,1028.3,5.8,10.5,0,5.3,3.5,1.8,1109.40077
20140215,2.5,-3.2,9.3,0,3.2,1,320,-4.2,63.9,1018.8,1027.5,9.9,16.65,0,1,1,2.9,1114.136705
20140216,2.8,-3.2,10.9,0,2.3,0.8,320,-3.5,65.6,1019.9,1028.6,4.6,10.14,0,6,0.3,2.7,1132.572374
20140217,4.6,1,9.2,0,4.6,1.5,110,-1.7,64.9,1018.3,1026.9,0,7.06,0,8.5,3.8,3.2,1103.483644
20140218,3.7,0.4,7.2,0,6,3.2,90,-4.6,55.3,1017.9,1026.6,3.5,10.77,0,5.8,1.8,3.6,1157.091286
20140219,2.5,-2.2,8.7,0,5,1.7,110,-6.3,54,1017.9,1026.6,9.1,15.3,0,5.3,0,3.7,1141.847086
20140220,1.4,-3,7.7,0,4.4,1.4,340,-4.5,66.1,1019.2,1028,8,13.8,0,2.5,1.8,2,1129.64357
20140221,1,-4.7,7.9,0,3,1.1,340,-7.7,57.1,1022,1030.8,10,17.93,0,0,0,3,1083.299007
20140222,1.9,-4.5,8.7,0,2.6,0.9,320,-5.7,60.4,1022.9,1031.7,8.8,15.59,0,0.5,0,2.6,1095.979346
20140223,3.2,-3.5,10.8,0,2.3,0.8,340,-5.5,56.8,1022.5,1031.2,8.6,14.8,0,0,0,3.5,1155.785838
20140224,4.4,-2.4,11.9,0,3.2,1.1,340,-3,60.6,1021.1,1029.8,7.8,14.59,0,0,0,4.3,1143.276565
20140225,6,-1.5,13.6,0,2.4,0.9,320,-1.3,62.1,1020.2,1028.8,7.4,14.56,0,2.3,0,5.4,1100.759187
