,temp,lowest temp,highest temp,rainfall,wind speed,dew point,humidity,sunshine,snowfall,watt
temp,1.0,0.9814184726482731,0.9865908561603117,0.09626811817903401,-0.22172502977229233,0.9142995060939273,0.47831760513290444,0.041188673301431264,-0.14321784948151287,-0.42448327411413755
lowest temp,0.9814184726482731,1.0,0.9468943059916171,0.14180578757066048,-0.23726643556795654,0.9404585022026197,0.5681511413991932,-0.0689759240889791,-0.12577787666493906,-0.4206716592565914
highest temp,0.9865908561603117,0.9468943059916171,1.0,0.061393501770775585,-0.20435096069752182,0.8719270695650435,0.4032418202775436,0.12329525311385778,-0.15385025794046428,-0.42392841039212814
rainfall,0.09626811817903401,0.14180578757066048,0.061393501770775585,1.0,0.05468711853675422,0.1877658801475631,0.29301557292778313,-0.3229383325966144,0.04642295019533985,-0.06826401791603301
wind speed,-0.22172502977229233,-0.23726643556795654,-0.20435096069752182,0.05468711853675422,1.0,-0.34133887845886657,-0.3810601964900489,0.13138686629770022,-0.03277232262185907,0.06766544055821787
dew point,0.9142995060939273,0.9404585022026197,0.8719270695650435,0.1877658801475631,-0.34133887845886657,1.0,0.786511794564064,-0.18223673365869297,-0.06417187082551776,-0.3989191351236527
humidity,0.47831760513290444,0.5681511413991932,0.4032418202775436,0.29301557292778313,-0.3810601964900489,0.786511794564064,1.0,-0.48884074424693913,0.09475663815658715,-0.23432014971380546
sunshine,0.041188673301431264,-0.0689759240889791,0.12329525311385778,-0.3229383325966144,0.13138686629770022,-0.18223673365869297,-0.48884074424693913,1.0,-0.0890789771111067,0.017592710352021153
snowfall,-0.14321784948151287,-0.12577787666493906,-0.15385025794046428,0.04642295019533985,-0.03277232262185907,-0.06417187082551776,0.09475663815658715,-0.0890789771111067,1.0,0.11287120078616948
watt,-0.42448327411413755,-0.4206716592565914,-0.42392841039212814,-0.06826401791603301,0.06766544055821787,-0.3989191351236527,-0.23432014971380546,0.017592710352021153,0.11287120078616948,1.0
