date,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),elec
20140101,5.1,0.4,9.7,0.0,5.0,2.2,200.0,-2.4,61.1,1007.4,1015.9,8.4,9.79,0.0,0.8,0.8,1.8,847701.425646372
20140102,2.6,-2.2,9.1,0.0,3.0,1.0,320.0,-6.1,56.5,1013.1,1021.7,8.6,11.01,0.0,1.9,0.0,1.3,847868.9794728998
20140103,2.1,-3.4,9.6,0.0,1.8,0.4,110.0,-5.5,59.5,1009.3,1018.0,7.4,8.42,0.0,5.4,1.3,0.7,848362.2574328578
20140104,1.0,-2.7,6.5,0.0,2.5,1.0,320.0,-6.2,61.4,1011.0,1019.7,8.8,11.58,0.0,0.4,0.4,0.6,847253.1832930797
20140105,-0.8,-5.9,5.5,0.0,2.5,0.9,320.0,-6.3,68.9,1015.5,1024.3,8.2,10.97,0.0,0.1,0.0,-1.3,848006.2568054654
20140106,-0.2,-5.8,7.3,0.0,2.1,0.8,320.0,-6.1,66.9,1019.8,1028.7,8.6,10.84,0.0,0.1,0.1,-1.0,848198.8949126587
20140107,0.7,-5.0,7.2,0.0,2.1,0.7,320.0,-4.1,72.0,1017.7,1026.5,2.2,7.5,0.0,5.8,2.9,-0.4,845105.136645086
20140108,1.2,-2.9,5.3,0.2,3.9,1.5,340.0,-4.0,69.6,1012.8,1021.5,2.2,4.02,0.1,7.5,3.3,1.4,846793.6692670081
20140109,-5.4,-8.3,-1.0,0.0,5.7,2.4,320.0,-17.1,41.5,1020.1,1029.1,9.0,13.04,0.0,0.0,0.0,-4.1,847922.4937772481
20140110,-4.8,-9.9,0.1,0.0,1.9,0.8,320.0,-9.3,70.9,1023.5,1032.5,3.1,7.17,0.0,4.6,4.6,-3.3,847007.4515053891
20140111,-1.0,-5.1,3.5,0.0,2.7,0.8,320.0,-5.6,72.3,1023.2,1032.1,3.7,7.71,0.0,7.0,5.1,-1.1,847767.7539620397
20140112,-0.7,-5.1,5.0,0.0,4.9,1.6,340.0,-6.6,65.6,1020.2,1029.0,2.1,6.26,0.0,4.1,3.0,-1.6,846745.5781251694
20140113,-5.3,-9.9,0.7,0.0,3.1,1.2,340.0,-16.2,46.3,1024.1,1033.1,9.0,12.98,0.0,0.1,0.0,-4.4,847059.1306700478
20140114,-4.4,-10.6,2.8,0.0,3.0,1.0,340.0,-12.8,54.3,1024.6,1033.6,8.9,11.99,0.0,0.0,0.0,-4.1,847930.9538104241
20140115,-3.0,-8.7,3.8,0.0,2.8,0.9,290.0,-9.4,63.9,1024.3,1033.2,8.8,11.97,0.0,0.0,0.0,-3.3,846610.1987923895
20140116,-1.6,-7.2,4.1,0.0,1.8,0.7,290.0,-5.8,74.1,1021.2,1030.1,1.6,6.06,0.0,5.1,4.6,-2.1,845532.2712647835
20140117,-0.1,-4.9,6.1,0.0,2.2,0.7,290.0,-4.8,72.6,1018.3,1027.0,5.9,9.3,0.0,1.5,1.5,-1.1,846290.0555245592
20140118,-1.1,-5.2,4.6,0.0,5.8,1.6,320.0,-8.1,61.4,1019.4,1028.2,5.9,9.59,0.0,3.4,3.4,-1.3,848454.5367732653
20140119,-1.7,-8.7,4.5,0.0,2.3,1.1,320.0,-11.1,52.6,1020.4,1029.3,8.9,12.69,0.0,3.9,1.1,-1.9,848846.6771233162
20140120,0.8,-1.5,5.4,3.6,5.1,1.8,320.0,-2.5,79.1,1011.7,1020.4,1.6,5.77,3.2,8.4,7.1,0.6,847508.3107011599
20140121,-3.2,-5.0,-1.2,0.7,3.4,1.8,340.0,-6.8,76.3,1017.0,1025.8,3.7,7.35,3.3,7.3,7.3,0.0,846771.6774817572
20140122,-2.6,-7.5,2.7,0.0,3.3,1.2,340.0,-7.7,69.5,1020.6,1029.5,8.8,12.64,0.0,1.5,1.5,-1.6,846083.0664977401
20140123,-1.3,-7.7,6.4,0.0,2.2,0.8,320.0,-6.0,72.5,1018.4,1027.3,9.1,14.1,0.0,0.0,0.0,-1.1,848322.0248964864
20140124,3.7,-3.4,10.7,0.0,3.3,1.0,230.0,-0.2,76.5,1013.3,1021.9,2.2,7.08,0.0,7.1,6.4,1.3,846543.8840697046
20140125,5.7,1.2,10.3,1.6,4.2,1.3,320.0,3.9,88.1,1008.6,1017.1,0.0,1.68,0.0,8.4,5.6,3.5,847229.9153814683
20140126,-0.8,-4.1,5.7,0.0,3.4,1.5,340.0,-9.5,54.3,1019.2,1028.0,9.4,14.52,0.0,0.0,0.0,0.6,847993.7070651369
20140127,0.3,-8.1,8.6,0.0,2.9,1.3,320.0,-8.6,56.0,1016.3,1025.1,9.5,13.57,0.0,0.0,0.0,-0.7,847365.0871468092
