date,평균기온(°C),최저기온(°C),최고기온(°C),평균 이슬점온도(°C),평균 현지기압(hPa),평균 해면기압(hPa),합계 일사량(MJ/m2),평균 지면온도(°C),watt
20140101,5.1,0.4,9.7,-2.4,1007.4,1015.9,9.79,1.8,1161.699541
20140102,2.6,-2.2,9.1,-6.1,1013.1,1021.7,11.01,1.3,1176.430702
20140103,2.1,-3.4,9.6,-5.5,1009.3,1018,8.42,0.7,1193.934395
20140104,1,-2.7,6.5,-6.2,1011,1019.7,11.58,0.6,1162.438562
20140105,-0.8,-5.9,5.5,-6.3,1015.5,1024.3,10.97,-1.3,1170.903589
20140106,-0.2,-5.8,7.3,-6.1,1019.8,1028.7,10.84,-1,1167.064135
20140107,0.7,-5,7.2,-4.1,1017.7,1026.5,7.5,-0.4,1173.917768
20140108,1.2,-2.9,5.3,-4,1012.8,1021.5,4.02,1.4,1223.951826
20140109,-5.4,-8.3,-1,-17.1,1020.1,1029.1,13.04,-4.1,1164.659118
20140110,-4.8,-9.9,0.1,-9.3,1023.5,1032.5,7.17,-3.3,1152.102643
20140111,-1,-5.1,3.5,-5.6,1023.2,1032.1,7.71,-1.1,1187.461095
20140112,-0.7,-5.1,5,-6.6,1020.2,1029,6.26,-1.6,1197.813983
20140113,-5.3,-9.9,0.7,-16.2,1024.1,1033.1,12.98,-4.4,1162.548784
20140114,-4.4,-10.6,2.8,-12.8,1024.6,1033.6,11.99,-4.1,1149.671898
20140115,-3,-8.7,3.8,-9.4,1024.3,1033.2,11.97,-3.3,1164.573368
20140116,-1.6,-7.2,4.1,-5.8,1021.2,1030.1,6.06,-2.1,1212.784962
20140117,-0.1,-4.9,6.1,-4.8,1018.3,1027,9.3,-1.1,1153.087416
20140118,-1.1,-5.2,4.6,-8.1,1019.4,1028.2,9.59,-1.3,1154.573346
20140119,-1.7,-8.7,4.5,-11.1,1020.4,1029.3,12.69,-1.9,1173.064402
20140120,0.8,-1.5,5.4,-2.5,1011.7,1020.4,5.77,0.6,1137.787716
20140121,-3.2,-5,-1.2,-6.8,1017,1025.8,7.35,0,1191.624245
20140122,-2.6,-7.5,2.7,-7.7,1020.6,1029.5,12.64,-1.6,1187.606654
20140123,-1.3,-7.7,6.4,-6,1018.4,1027.3,14.1,-1.1,1191.027501
20140124,3.7,-3.4,10.7,-0.2,1013.3,1021.9,7.08,1.3,1176.721533
20140125,5.7,1.2,10.3,3.9,1008.6,1017.1,1.68,3.5,1196.620007
20140126,-0.8,-4.1,5.7,-9.5,1019.2,1028,14.52,0.6,1203.778508
20140127,0.3,-8.1,8.6,-8.6,1016.3,1025.1,13.57,-0.7,1177.104367
20140128,3.1,-3.3,8.7,-5.5,1016.1,1024.8,11.47,1.8,1169.336621
20140129,2.1,-7.2,10.2,-7.7,1013.8,1022.5,12.08,0.2,1195.243382
20140130,4.8,0.5,8.2,1.7,1008.1,1016.7,0.97,3,1196.394274
20140131,2.4,-3.9,11.3,-5.4,1015.2,1023.9,13.32,2,1175.658255
20140201,7.5,1.1,13.9,1.4,1007,1015.5,7.01,5.2,1126.489282
20140202,8.7,6.1,11.2,7.6,1002.1,1010.4,4.42,9.1,1107.265534
20140203,-0.2,-5.7,6.1,-8.8,1008.4,1017.1,9.12,2.1,1109.500771
20140204,-6.4,-10.7,-1.2,-16.9,1016.9,1025.8,16.27,-2.9,1084.430516
20140205,-4.6,-9,1,-16.2,1020.2,1029.2,11.93,-1.9,1133.771019
20140206,-0.6,-4.7,4.8,-12,1017,1025.8,10.12,-0.6,1118.67341
20140207,2.7,-2.5,7.7,-3.3,1011.4,1020.1,8.29,1.1,1099.920153
20140208,3,0.9,5.2,0.1,1008.6,1017.2,4.08,2.6,1121.565778
20140209,-0.2,-1.4,1.7,-3.4,1012.8,1021.6,6.07,1.1,1125.418309
20140210,0.2,-2.2,3.2,-3.1,1016.7,1025.5,7.26,1.4,1122.526072
20140211,1.1,-3.6,6.5,-6.3,1017.6,1026.3,15.68,2,1131.113872
20140212,2.6,-1.3,8.9,-5.3,1019.5,1028.2,15.31,2.6,1111.716266
20140213,2.8,-1.4,8.2,-3.6,1021.4,1030,11.7,2.4,1109.8328
20140214,2.4,-0.9,6.6,-3.6,1019.6,1028.3,10.5,1.8,1109.40077
20140215,2.5,-3.2,9.3,-4.2,1018.8,1027.5,16.65,2.9,1114.136705
20140216,2.8,-3.2,10.9,-3.5,1019.9,1028.6,10.14,2.7,1132.572374
20140217,4.6,1,9.2,-1.7,1018.3,1026.9,7.06,3.2,1103.483644
20140218,3.7,0.4,7.2,-4.6,1017.9,1026.6,10.77,3.6,1157.091286
20140219,2.5,-2.2,8.7,-6.3,1017.9,1026.6,15.3,3.7,1141.847086
20140220,1.4,-3,7.7,-4.5,1019.2,1028,13.8,2,1129.64357
20140221,1,-4.7,7.9,-7.7,1022,1030.8,17.93,3,1083.299007
20140222,1.9,-4.5,8.7,-5.7,1022.9,1031.7,15.59,2.6,1095.979346
20140223,3.2,-3.5,10.8,-5.5,1022.5,1031.2,14.8,3.5,1155.785838
20140224,4.4,-2.4,11.9,-3,1021.1,1029.8,14.59,4.3,1143.276565
20140225,6,-1.5,13.6,-1.3,1020.2,1028.8,14.56,5.4,1100.759187
20140226,6.4,1.5,12.3,1.2,1015.9,1024.4,7.38,5.2,1135.856373
20140227,9.1,3.8,15.6,3.5,1012,1020.4,12.46,9.4,1134.211362
20140228,8.4,2.7,14.5,2.6,1013.2,1021.6,13.95,9.6,1125.279207
20140301,7.9,4.4,10.7,2.5,1010.3,1018.8,5.6,8.5,1079.930673
20140302,5.1,1,11.5,-4.9,1013,1021.5,19.37,6.6,1085.543058
20140303,4.8,-2.8,12.9,-8.4,1018.4,1027,19.62,6.5,1073.803325
20140304,5.3,-1.2,11.8,-4.8,1014.5,1023.1,12.18,4.9,1088.719226
20140305,2.9,-1.3,8,-9.4,1015.2,1023.8,21.31,6.7,1056.678741
20140306,1.2,-3.8,6.7,-10.4,1019.2,1027.9,18.53,3.6,1071.852992
20140307,0.9,-4.3,7.2,-12.9,1021.8,1030.6,21.4,4.6,1096.004636
20140308,2.7,-3.2,8.7,-6.5,1016.9,1025.6,15.04,5.4,1074.774965
20140309,2.3,-2,6.6,-4.4,1013.2,1021.8,13.62,4.8,1102.09621
20140310,2.5,-4.5,10.1,-7.1,1018.5,1027.2,22.1,4.9,1098.825412
20140311,5.3,-3.2,13.8,-8.3,1018,1026.6,19.99,6.1,1066.934528
20140312,4.1,0.1,6.2,1.7,1009.2,1017.8,2.44,3.6,1066.327724
20140313,4.1,1.8,6.2,3.3,1005.1,1013.6,3.22,5.1,1078.646072
20140314,3.8,0.1,9.1,-1.3,1011.3,1019.9,17.77,5.7,1061.666829
20140315,7.6,0,13.9,0.5,1012,1020.5,20.85,6.6,1102.651039
20140316,12.2,7.6,18.6,4.8,1012.9,1021.2,18.29,10.7,1078.034816
20140317,13.1,4,21.9,7.9,1009.8,1018.1,18.09,13.2,1088.635171
20140318,13.4,9.3,18.2,7.6,1007,1015.2,18.91,14.4,1089.441599
20140319,10.8,7.8,14,4.7,1008.5,1016.8,8.68,10.6,1096.46129
20140320,7.1,2.3,10.3,2.3,1005.8,1014.2,11.52,8.2,1081.695647
20140321,5.5,0.3,11.2,-3.1,1012.5,1021.1,21.74,8.5,1099.18015
20140322,8.6,-0.2,16.4,0.7,1015.8,1024.2,22.52,10.2,1091.113751
