date,평균기온(°C),최저기온(°C),최고기온(°C),평균 이슬점온도(°C),평균 현지기압(hPa),평균 해면기압(hPa),합계 일사량(MJ/m2),평균 지면온도(°C),elec
20140101,5.1,0.4,9.7,-2.4,1007.4,1015.9,9.79,1.8,847701.425646372
20140102,2.6,-2.2,9.1,-6.1,1013.1,1021.7,11.01,1.3,847868.9794728998
20140103,2.1,-3.4,9.6,-5.5,1009.3,1018.0,8.42,0.7,848362.2574328578
20140104,1.0,-2.7,6.5,-6.2,1011.0,1019.7,11.58,0.6,847253.1832930797
20140105,-0.8,-5.9,5.5,-6.3,1015.5,1024.3,10.97,-1.3,848006.2568054654
20140106,-0.2,-5.8,7.3,-6.1,1019.8,1028.7,10.84,-1.0,848198.8949126587
20140107,0.7,-5.0,7.2,-4.1,1017.7,1026.5,7.5,-0.4,845105.136645086
20140108,1.2,-2.9,5.3,-4.0,1012.8,1021.5,4.02,1.4,846793.6692670081
20140109,-5.4,-8.3,-1.0,-17.1,1020.1,1029.1,13.04,-4.1,847922.4937772481
20140110,-4.8,-9.9,0.1,-9.3,1023.5,1032.5,7.17,-3.3,847007.4515053891
20140111,-1.0,-5.1,3.5,-5.6,1023.2,1032.1,7.71,-1.1,847767.7539620397
20140112,-0.7,-5.1,5.0,-6.6,1020.2,1029.0,6.26,-1.6,846745.5781251694
20140113,-5.3,-9.9,0.7,-16.2,1024.1,1033.1,12.98,-4.4,847059.1306700478
20140114,-4.4,-10.6,2.8,-12.8,1024.6,1033.6,11.99,-4.1,847930.9538104241
20140115,-3.0,-8.7,3.8,-9.4,1024.3,1033.2,11.97,-3.3,846610.1987923895
20140116,-1.6,-7.2,4.1,-5.8,1021.2,1030.1,6.06,-2.1,845532.2712647835
20140117,-0.1,-4.9,6.1,-4.8,1018.3,1027.0,9.3,-1.1,846290.0555245592
20140118,-1.1,-5.2,4.6,-8.1,1019.4,1028.2,9.59,-1.3,848454.5367732653
20140119,-1.7,-8.7,4.5,-11.1,1020.4,1029.3,12.69,-1.9,848846.6771233162
20140120,0.8,-1.5,5.4,-2.5,1011.7,1020.4,5.77,0.6,847508.3107011599
20140121,-3.2,-5.0,-1.2,-6.8,1017.0,1025.8,7.35,0.0,846771.6774817572
20140122,-2.6,-7.5,2.7,-7.7,1020.6,1029.5,12.64,-1.6,846083.0664977401
20140123,-1.3,-7.7,6.4,-6.0,1018.4,1027.3,14.1,-1.1,848322.0248964864
20140124,3.7,-3.4,10.7,-0.2,1013.3,1021.9,7.08,1.3,846543.8840697046
20140125,5.7,1.2,10.3,3.9,1008.6,1017.1,1.68,3.5,847229.9153814683
20140126,-0.8,-4.1,5.7,-9.5,1019.2,1028.0,14.52,0.6,847993.7070651369
20140127,0.3,-8.1,8.6,-8.6,1016.3,1025.1,13.57,-0.7,847365.0871468092
20140128,3.1,-3.3,8.7,-5.5,1016.1,1024.8,11.47,1.8,845467.5833775906
20140129,2.1,-7.2,10.2,-7.7,1013.8,1022.5,12.08,0.2,846025.3660623687
20140130,4.8,0.5,8.2,1.7,1008.1,1016.7,0.97,3.0,847652.4308525181
20140131,2.4,-3.9,11.3,-5.4,1015.2,1023.9,13.32,2.0,846785.4213840363
20140201,7.5,1.1,13.9,1.4,1007.0,1015.5,7.01,5.2,806239.563967631
20140202,8.7,6.1,11.2,7.6,1002.1,1010.4,4.42,9.1,805298.5964693263
20140203,-0.2,-5.7,6.1,-8.8,1008.4,1017.1,9.12,2.1,806127.2691294721
20140204,-6.4,-10.7,-1.2,-16.9,1016.9,1025.8,16.27,-2.9,806386.9456684216
20140205,-4.6,-9.0,1.0,-16.2,1020.2,1029.2,11.93,-1.9,806686.0516988385
20140206,-0.6,-4.7,4.8,-12.0,1017.0,1025.8,10.12,-0.6,807431.5851189729
20140207,2.7,-2.5,7.7,-3.3,1011.4,1020.1,8.29,1.1,807374.6656307934
20140208,3.0,0.9,5.2,0.1,1008.6,1017.2,4.08,2.6,806319.8053601094
20140209,-0.2,-1.4,1.7,-3.4,1012.8,1021.6,6.07,1.1,807475.6728416668
20140210,0.2,-2.2,3.2,-3.1,1016.7,1025.5,7.26,1.4,807428.505837774
20140211,1.1,-3.6,6.5,-6.3,1017.6,1026.3,15.68,2.0,806965.6526419106
20140212,2.6,-1.3,8.9,-5.3,1019.5,1028.2,15.31,2.6,805655.1484127437
20140213,2.8,-1.4,8.2,-3.6,1021.4,1030.0,11.7,2.4,807818.7908888453
20140214,2.4,-0.9,6.6,-3.6,1019.6,1028.3,10.5,1.8,805407.6230791161
20140215,2.5,-3.2,9.3,-4.2,1018.8,1027.5,16.65,2.9,805266.8633348347
20140216,2.8,-3.2,10.9,-3.5,1019.9,1028.6,10.14,2.7,806143.9857374855
20140217,4.6,1.0,9.2,-1.7,1018.3,1026.9,7.06,3.2,805046.2777210354
20140218,3.7,0.4,7.2,-4.6,1017.9,1026.6,10.77,3.6,806706.2996749863
20140219,2.5,-2.2,8.7,-6.3,1017.9,1026.6,15.3,3.7,805301.5576530619
20140220,1.4,-3.0,7.7,-4.5,1019.2,1028.0,13.8,2.0,805260.5808882703
20140221,1.0,-4.7,7.9,-7.7,1022.0,1030.8,17.93,3.0,805182.3417227294
20140222,1.9,-4.5,8.7,-5.7,1022.9,1031.7,15.59,2.6,807043.9209145545
20140223,3.2,-3.5,10.8,-5.5,1022.5,1031.2,14.8,3.5,805539.1250313494
20140224,4.4,-2.4,11.9,-3.0,1021.1,1029.8,14.59,4.3,807826.4689868098
20140225,6.0,-1.5,13.6,-1.3,1020.2,1028.8,14.56,5.4,807094.910566643
20140226,6.4,1.5,12.3,1.2,1015.9,1024.4,7.38,5.2,805616.4993003919
20140227,9.1,3.8,15.6,3.5,1012.0,1020.4,12.46,9.4,806740.161712938
20140228,8.4,2.7,14.5,2.6,1013.2,1021.6,13.95,9.6,804771.0596800605
20140301,7.9,4.4,10.7,2.5,1010.3,1018.8,5.6,8.5,775202.7329691174
20140302,5.1,1.0,11.5,-4.9,1013.0,1021.5,19.37,6.6,775028.2659291283
20140303,4.8,-2.8,12.9,-8.4,1018.4,1027.0,19.62,6.5,774640.2936474255
20140304,5.3,-1.2,11.8,-4.8,1014.5,1023.1,12.18,4.9,775621.20459433
20140305,2.9,-1.3,8.0,-9.4,1015.2,1023.8,21.31,6.7,774842.2331313988
20140306,1.2,-3.8,6.7,-10.4,1019.2,1027.9,18.53,3.6,774879.1827622362
20140307,0.9,-4.3,7.2,-12.9,1021.8,1030.6,21.4,4.6,774421.9515943049
20140308,2.7,-3.2,8.7,-6.5,1016.9,1025.6,15.04,5.4,773930.7866093623
20140309,2.3,-2.0,6.6,-4.4,1013.2,1021.8,13.62,4.8,776455.0580843088
20140310,2.5,-4.5,10.1,-7.1,1018.5,1027.2,22.1,4.9,778629.9415157847
20140311,5.3,-3.2,13.8,-8.3,1018.0,1026.6,19.99,6.1,775651.4849614779
20140312,4.1,0.1,6.2,1.7,1009.2,1017.8,2.44,3.6,776862.7894346898
20140313,4.1,1.8,6.2,3.3,1005.1,1013.6,3.22,5.1,775799.3171836841
20140314,3.8,0.1,9.1,-1.3,1011.3,1019.9,17.77,5.7,774067.230995931
20140315,7.6,0.0,13.9,0.5,1012.0,1020.5,20.85,6.6,774203.6393645261
20140316,12.2,7.6,18.6,4.8,1012.9,1021.2,18.29,10.7,775503.4830980361
20140317,13.1,4.0,21.9,7.9,1009.8,1018.1,18.09,13.2,774963.7894789664
20140318,13.4,9.3,18.2,7.6,1007.0,1015.2,18.91,14.4,775727.3809746137
20140319,10.8,7.8,14.0,4.7,1008.5,1016.8,8.68,10.6,775477.835333202
