,가구 구성원수,전력량,전력량 증가 비율
1월,1,221,1.14507772
1월,2,308,1.595854922
1월,3,338,1.751295337
1월,4,353,1.829015544
1월,5,374,1.937823834
1월,6,408,2.113989637
1월,7,423,2.191709845
1월,8,446,2.310880829
1월,9,646,3.347150259
2월,1,228,1.18134715
2월,2,320,1.658031088
2월,3,348,1.803108808
2월,4,365,1.89119171
2월,5,385,1.994818653
2월,6,418,2.165803109
2월,7,407,2.10880829
2월,8,428,2.21761658
2월,9,459,2.378238342
3월,1,218,1.129533679
3월,2,307,1.590673575
3월,3,335,1.735751295
3월,4,350,1.813471503
3월,5,369,1.911917098
3월,6,410,2.124352332
3월,7,393,2.03626943
3월,8,414,2.14507772
3월,9,432,2.238341969
4월,1,206,1.067357513
4월,2,287,1.487046632
4월,3,317,1.642487047
4월,4,330,1.70984456
4월,5,349,1.808290155
4월,6,384,1.989637306
4월,7,380,1.968911917
4월,8,481,2.492227979
4월,9,387,2.005181347
5월,1,201,1.041450777
5월,2,282,1.461139896
5월,3,312,1.616580311
5월,4,327,1.694300518
5월,5,344,1.78238342
5월,6,381,1.974093264
5월,7,374,1.937823834
5월,8,474,2.455958549
5월,9,389,2.015544041
6월,1,193,1
6월,2,269,1.393782383
6월,3,299,1.549222798
6월,4,315,1.632124352
6월,5,330,1.70984456
6월,6,368,1.906735751
6월,7,355,1.839378238
6월,8,484,2.507772021
6월,9,378,1.958549223
7월,1,193,1
7월,2,268,1.388601036
7월,3,301,1.559585492
7월,4,320,1.658031088
7월,5,333,1.725388601
7월,6,370,1.917098446
7월,7,374,1.937823834
7월,8,476,2.466321244
7월,9,394,2.041450777
8월,1,204,1.056994819
8월,2,286,1.481865285
8월,3,326,1.689119171
8월,4,346,1.792746114
8월,5,362,1.875647668
8월,6,400,2.07253886
8월,7,391,2.025906736
8월,8,491,2.544041451
8월,9,430,2.227979275
9월,1,211,1.093264249
9월,2,298,1.544041451
9월,3,344,1.78238342
9월,4,368,1.906735751
9월,5,384,1.989637306
9월,6,420,2.176165803
9월,7,406,2.103626943
9월,8,493,2.554404145
9월,9,434,2.248704663
10월,1,198,1.025906736
10월,2,278,1.440414508
10월,3,311,1.611398964
10월,4,330,1.70984456
10월,5,344,1.78238342
10월,6,386,2
10월,7,376,1.948186528
10월,8,439,2.274611399
10월,9,393,2.03626943
11월,1,198,1.025906736
11월,2,275,1.424870466
11월,3,304,1.575129534
11월,4,319,1.652849741
11월,5,334,1.730569948
11월,6,372,1.92746114
11월,7,370,1.917098446
11월,8,477,2.471502591
11월,9,369,1.911917098
12월,1,207,1.07253886
12월,2,292,1.512953368
12월,3,322,1.668393782
12월,4,336,1.740932642
12월,5,354,1.834196891
12월,6,391,2.025906736
12월,7,401,2.077720207
12월,8,460,2.383419689
12월,9,415,2.150259067
