월별(1),2011,2012,2013,2014,2015,2016,2017
월별(1),가정용,가정용,가정용,가정용,가정용,가정용,가정용
월별(1),전력사용량  (MWh),전력사용량  (MWh),전력사용량  (MWh),전력사용량  (MWh),전력사용량  (MWh),전력사용량  (MWh),전력사용량  (MWh)
합계,22706,23148,22866,23090,23367,24506,24402
1월,2087,2052,2066,2024,2138,1869,2180
2월,2103,2103,2060,2127,2072,1878,2266
3월,1741,1851,1781,1797,1871,1884,1883
4월,1857,1937,1857,1889,1938,1944,2030
5월,1787,1811,1813,1861,1962,1963,1899
6월,1796,1794,1789,1825,1683,1984,1873
7월,1763,1752,1752,1777,1786,2053,1961
8월,1970,2092,2123,2000,2132,2095,2237
9월,1912,1927,1952,1911,1898,2137,2002
10월,1809,1845,1787,1824,1863,2154,1936
11월,1929,1966,1934,2001,1987,2232,2016
12월,1952,2018,1952,2054,2037,2313,2119
